iter	Passed	Remaining
464	739	850
465	740	848
466	740	845
467	741	843
468	742	840
469	743	838
470	744	835
471	745	833
472	746	831
473	748	830
474	750	829
475	751	826
476	751	824
477	752	822
478	754	820
479	754	817
480	755	815
481	756	812
482	757	810
483	758	808
484	758	805
485	761	804
486	763	804
487	764	801
488	765	799
489	765	797
490	766	794
491	767	792
492	768	790
493	769	787
494	769	785
495	770	783
496	771	780
497	772	778
498	773	776
499	773	773
500	776	773
501	777	771
502	779	770
503	781	768
504	782	766
505	783	764
506	783	762
507	784	760
508	785	757
509	786	755
510	787	753
511	788	751
512	788	748
513	790	747
514	792	746
515	793	744
516	794	742
517	795	740
518	796	737
519	797	735
520	797	733
521	798	731
522	799	729
523	800	726
524	801	724
525	801	722
526	802	720
527	803	718
528	805	716
529	806	715
530	808	714
531	809	712
532	810	710
533	811	708
534	812	705
535	813	703
536	813	701
537	814	699
538	815	697
539	816	695
540	817	693
541	817	691
542	818	688
543	820	688
544	822	686
545	823	684
546	824	682
547	825	680
548	826	678
549	826	676
550	827	674
551	828	672
552	829	670
553	830	668
554	831	666
555	831	664
556	832	662
557	833	660
558	834	658
559	835	656
560	838	656
561	840	654
562	840	652
563	841	650
564	842	648
565	843	646
566	844	644
567	845	642
568	846	641
569	847	639
570	848	637
571	849	635
572	852	635
573	853	633
574	853	631
575	854	629
576	855	627
577	856	625
578	857	623
579	857	621
580	858	619
581	859	617
582	860	615
583	861	613
584	861	611
585	862	609
586	863	607
587	865	606
588	866	604
589	868	603
590	870	602
591	870	600
592	871	598
593	872	596
594	873	594
595	874	592
596	874	590
597	875	588
598	876	586
599	877	584
600	878	582
601	879	581
602	881	580
603	882	578
604	883	576
605	884	574
606	884	572
607	885	571
608	886	569
609	887	567
610	888	565
611	889	563
612	889	561
613	890	559
614	891	558
615	892	556
616	893	554
617	894	553
618	896	551
619	898	550
620	898	548
621	899	546
622	900	545
623	901	543
624	902	541
625	903	539
626	903	537
627	904	535
628	905	534
629	906	532
630	907	530
631	908	528
632	910	527
633	911	526
634	912	524
635	913	522
636	914	520
637	915	519
638	915	517
639	916	515
640	917	513
641	918	512
642	919	510
643	920	508
644	921	506
645	921	505
646	922	503
647	924	502
648	925	500
649	927	499
650	929	498
651	929	496
652	930	494
653	931	492
654	932	491
655	933	489
656	934	487
657	935	486
658	935	484
659	936	482
660	938	481
661	940	480
662	941	478
663	942	476
664	943	475
665	944	473
666	945	471
667	945	470
668	946	468
669	947	466
670	948	464
671	949	463
672	950	461
673	950	459
674	951	458
675	954	457
676	955	455
677	957	454
678	958	453
679	959	451
680	960	449
681	961	448
682	962	446
683	963	444
684	963	443
685	964	441
686	965	439
687	966	438
688	967	436
689	969	435
690	970	434
691	971	432
692	972	430
693	973	429
694	974	427
695	974	425
696	975	424
697	976	422
698	977	420
699	978	419
700	978	417
701	979	415
702	980	414
703	981	412
704	984	411
705	986	410
706	987	409
707	988	407
708	989	406
709	990	404
710	991	402
711	991	401
712	992	399
713	993	397
714	994	396
715	995	394
716	995	393
717	997	391
718	999	390
719	1000	389
720	1001	387
721	1002	385
722	1003	384
723	1003	382
724	1004	381
725	1005	379
726	1006	377
727	1007	376
728	1008	374
729	1008	373
730	1009	371
731	1010	369
732	1011	368
733	1012	367
734	1014	365
735	1017	364
736	1018	363
737	1019	361
738	1019	360
739	1020	358
740	1021	357
741	1022	355
742	1023	353
743	1024	352
744	1025	350
745	1026	349
746	1029	348
747	1030	347
748	1032	345
749	1033	344
750	1034	343
751	1035	341
752	1036	340
753	1037	338
754	1038	337
755	1039	335
756	1042	334
757	1044	333
758	1048	332
759	1049	331
760	1051	330
761	1052	328
762	1053	327
763	1054	325
764	1056	324
765	1059	323
766	1061	322
767	1062	320
768	1063	319
769	1064	317
770	1065	316
771	1066	314
772	1067	313
773	1068	311
774	1069	310
775	1073	309
776	1075	308
777	1076	307
778	1077	305
779	1078	304
780	1079	302
781	1080	301
782	1081	299
783	1082	298
784	1082	296
785	1083	295
786	1084	293
787	1086	292
788	1089	291
789	1091	290
790	1092	288
791	1093	287
792	1093	285
793	1094	284
794	1096	282
795	1097	281
796	1098	279
797	1102	279
798	1105	278
799	1107	276
800	1108	275
801	1108	273
802	1109	272
803	1110	270
804	1111	269
805	1112	267
806	1113	266
807	1114	264
808	1116	263
809	1119	262
810	1120	261
811	1121	259
812	1122	258
813	1124	256
814	1125	255
815	1126	254
816	1127	252
817	1128	251
818	1129	249
819	1130	248
820	1133	247
821	1137	246
822	1138	244
823	1139	243
824	1140	241
825	1141	240
